id_atlhete_modality,Medal,id
6781,Silver,1160
6782,Silver,1161
6784,Silver,1162
6795,Gold,1163
6796,Gold,1164
6797,Silver,1165
6810,Silver,1166
6811,Silver,1167
6813,Bronze,1168
6814,Silver,1169
6815,Gold,1170
6817,Gold,1171
6818,Silver,1172
6819,Gold,1173
6834,Silver,1174
6837,Silver,1175
6840,Silver,1176
6844,Silver,1177
6845,Gold,1178
6846,Gold,1179
6847,Gold,1180
6848,Silver,1181
6849,Bronze,1182
6850,Gold,1183
6851,Gold,1184
6853,Silver,1185
6855,Bronze,1186
6857,Bronze,1187
6871,Bronze,1188
6872,Silver,1189
6876,Gold,1190
6880,Bronze,1191
6881,Bronze,1192
6884,Bronze,1193
6885,Silver,1194
6886,Bronze,1195
6903,Gold,1196
6904,Gold,1197
6905,Bronze,1198
6906,Gold,1199
6914,Gold,1200
6922,Gold,1201
6924,Bronze,1202
6927,Bronze,1203
6929,Gold,1204
6931,Gold,1205
6945,Bronze,1206
6947,Bronze,1207
6950,Gold,1208
6981,Silver,1209
6990,Bronze,1210
6991,Silver,1211
7009,Gold,1212
7011,Bronze,1213
7012,Gold,1214
7017,Bronze,1215
7021,Silver,1216
7029,Gold,1217
7037,Bronze,1218
7038,Bronze,1219
7046,Silver,1220
7055,Silver,1221
7069,Silver,1222
7094,Bronze,1223
7100,Bronze,1224
7112,Silver,1225
7160,Silver,1226
7161,Gold,1227
7162,Bronze,1228
7164,Bronze,1229
7173,Silver,1230
7177,Silver,1231
7180,Bronze,1232
7181,Bronze,1233
7182,Silver,1234
7183,Bronze,1235
7190,Silver,1236
7191,Bronze,1237
7203,Silver,1238
7205,Bronze,1239
7224,Gold,1240
7228,Silver,1241
7234,Silver,1242
7239,Gold,1243
7240,Silver,1244
7244,Silver,1245
7254,Bronze,1246
7256,Gold,1247
7258,Silver,1248
7269,Silver,1249
7270,Bronze,1250
7280,Bronze,1251
7281,Gold,1252
7282,Bronze,1253
7284,Silver,1254
7285,Silver,1255
7286,Bronze,1256
7287,Silver,1257
7291,Gold,1258
7292,Gold,1259
7293,Bronze,1260
7294,Silver,1261
7327,Silver,1262
7340,Silver,1263
7342,Gold,1264
7347,Bronze,1265
7348,Gold,1266
7350,Bronze,1267
7351,Silver,1268
7352,Silver,1269
7368,Silver,1270
7373,Bronze,1271
7374,Bronze,1272
7375,Silver,1273
7385,Silver,1274
7388,Silver,1275
7401,Gold,1276
7402,Bronze,1277
7411,Silver,1278
7414,Bronze,1279
7418,Gold,1280
7445,Gold,1281
7447,Silver,1282
7449,Silver,1283
7458,Silver,1284
7465,Gold,1285
7466,Bronze,1286
7470,Bronze,1287
7471,Silver,1288
7478,Gold,1289
7484,Gold,1290
7503,Bronze,1291
7504,Bronze,1292
7505,Bronze,1293
7508,Bronze,1294
7512,Gold,1295
7513,Silver,1296
7514,Bronze,1297
7520,Bronze,1298
7524,Gold,1299
7525,Silver,1300
7528,Gold,1301
7529,Silver,1302
7530,Gold,1303
7532,Bronze,1304
7540,Gold,1305
7541,Silver,1306
7542,Bronze,1307
7543,Bronze,1308
7552,Gold,1309
7557,Silver,1310
7560,Gold,1311
7565,Bronze,1312
7569,Bronze,1313
7579,Silver,1314
7586,Silver,1315
7587,Bronze,1316
7598,Silver,1317
7599,Bronze,1318
7600,Bronze,1319
7617,Bronze,1320
