id,id_modality,athlete_id,id_olympic,Age,Height,Weight
3026,24,46960,12,25.0,183.0,80.0
3027,24,46960,3,30.0,183.0,80.0
3028,24,46960,4,33.0,183.0,80.0
3029,104,46968,32,24.0,,
3030,20,46968,32,24.0,,
3031,372,46968,32,24.0,,
3032,24,46980,15,25.0,186.0,73.0
3033,30,46981,1,24.0,176.0,72.0
3034,194,46990,5,60.0,165.0,68.0
3035,195,46990,5,60.0,165.0,68.0
3036,392,46996,6,27.0,,
3037,39,47017,36,22.0,,
3038,40,47017,36,22.0,,
3039,42,47020,10,25.0,177.0,72.0
3040,25,47130,10,23.0,187.0,80.0
3041,10,47134,3,26.0,184.0,90.0
3042,11,47134,3,26.0,184.0,90.0
